"car_id","detail_id","Car_name","color","car_type","price"
"1","1","Jeep Wrangler","black","luxury","177688"
"2","2","Toyota innova","black","convertible","173964"
"3","3","Toyota innova","red","cross-over","275460"
"4","4","Jeep Wrangler","gray","luxury","390485"
"5","5","Toyota camry","red","cross-over","14526"
"6","6","Honda Civic","gray","sedan","212266"
"7","7","Honda Civic","red","convertible","240228"
"8","8","Jeep Compass","black","luxury","465065"
"9","9","Maruti Ertiga","black","luxury","311994"
"10","10","Honda Civic","yellow","hatchback","99016"
"11","11","Ford Mustang","gray","luxury","28154"
"12","12","Maruti Swift","gray","cross-over","106812"
"13","13","Jeep Compass","white","sports","107041"
"14","14","Maruti Siaz","red","hatchback","280742"
"15","15","Hyundai Kona EV","white","cross-over","274080"
"16","16","Merc E Class","white","hatchback","185517"
"17","17","Merc GLS","red","luxury","208073"
"18","18","Honda CRV","gray","luxury","162866"
"19","19","Mahindra XUV500 ","white","luxury","358602"
"20","20","Honda City","black","suv","471299"
"21","21","BMW X5","white","sports","393596"
"22","22","Audi Q7","gray","sports","143064"
"23","23","Tata Harrier","blue","luxury","456067"
"24","24","Audi A4","gray","convertible","343587"
"25","25","Mahindra Scorpio","green","hatchback","368297"
"26","26","Kia Carnival","blue","luxury","245160"
"27","27","Ford Ecosport","gray","luxury","331812"
"28","28","MG Hector","red","sports","115112"
"29","29","Mahindra XUV500 ","blue","sports","278401"
"30","30","BMW X5","green","hatchback","393342"
"31","31","Honda Civic","yellow","luxury","405362"
"32","32","MG ZS EV","gray","hatchback","14502"
"33","33","Kia Sonet","green","cross-over","240761"
"34","34","Honda CRV","black","suv","412588"
"35","35","Maruti Ertiga","blue","sports","167001"
"36","36","Maruti Swift","blue","sports","492137"
"37","37","Volvo XC 90","white","luxury","27949"
"38","38","MG ZS EV","white","sports","394679"
"39","39","BMW X5","black","convertible","456332"
"40","40","Skoda Rapid","yellow","hatchback","374318"
"41","41","Audi Q7","white","cross-over","219001"
"42","42","Ford Mustang","blue","luxury","88291"
"43","43","Honda CRV","green","luxury","49324"
"44","44","Maruti Ertiga","blue","sports","122848"
"45","45","Kia Sonet","blue","hatchback","84287"
"46","46","volkswagen polo","red","sports","53390"
"47","47","Tata Harrier","gray","sports","108634"
"48","48","MG ZS EV","red","sedan","456739"
"49","49","Honda City","blue","sedan","56921"
"50","50","Mahindra XUV500 ","green","luxury","93011"
"51","51","Maruti Swift","yellow","hatchback","184811"
"52","52","Kia Carnival","black","luxury","393848"
"53","53","MG ZS EV","gray","hatchback","459025"
"54","54","Ford Ecosport","blue","luxury","186664"
"55","55","Volvo S60","green","hatchback","135322"
"56","56","Maruti Siaz","green","hatchback","243104"
"57","57","Merc E Class","white","hatchback","27045"
"58","58","Hyundai Kona EV","green","sedan","115257"
"59","59","Hyundai Kona EV","gray","sedan","159288"
"60","60","Ford Mustang","red","sports","406460"
"61","61","BMW Z4","black","hatchback","62615"
"62","62","volkswagen polo","gray","sedan","469621"
"63","63","Hyundai Creta","blue","luxury","421926"
"64","64","Jeep Wrangler","gray","luxury","212597"
"65","65","Mahindra XUV500 ","yellow","sports","117396"
"66","66","Kia Carnival","black","hatchback","291639"
"67","67","Kia Carnival","white","sedan","145192"
"68","68","Volvo S60","white","cross-over","371189"
"69","69","Skoda Octavia","gray","sedan","421037"
"70","70","Audi Q7","white","luxury","130426"
"71","71","Mahindra XUV500 ","blue","suv","479477"
"72","72","BMW X5","black","hatchback","193416"
"73","73","Hyundai Creta","blue","suv","157786"
"74","74","Tata Harrier","red","cross-over","42170"
"75","75","Toyota camry","red","cross-over","31608"
"76","76","Honda Civic","yellow","hatchback","137135"
"77","77","Honda CRV","black","suv","404358"
"78","78","Honda CRV","red","hatchback","332832"
"79","79","Volvo XC 90","yellow","cross-over","407911"
"80","80","Hyundai Kona EV","gray","suv","326727"
"81","81","Ford Ecosport","white","hatchback","121438"
"82","82","Mahindra Thar","green","convertible","211858"
"83","83","Hyundai Kona EV","green","suv","414269"
"84","84","BMW X5","black","sedan","137136"
"85","85","Audi Q7","black","suv","259993"
"86","86","Tata Nexon EV","green","sedan","234911"
"87","87","Tata Nexon EV","black","suv","314647"
"88","88","Skoda Octavia","white","sports","456041"
"89","89","MG Hector","red","sedan","191232"
"90","90","Maruti Siaz","green","sports","452838"
"91","91","volkswagen passat","black","hatchback","428715"
"92","92","Honda CRV","white","hatchback","209292"
"93","93","Honda CRV","green","luxury","366144"
"94","94","Audi S5","yellow","sedan","222197"
"95","95","Tata Harrier","blue","luxury","140123"
"96","96","Toyota camry","black","luxury","409334"
"97","97","Ford Mustang","green","luxury","377154"
"98","98","volkswagen passat","yellow","convertible","337744"
"99","99","BMW X5","green","sports","222577"
"100","100","Maruti Siaz","blue","sports","369696"
"101","101","Merc E Class","gray","luxury","81394"
"102","102","Hyundai Kona EV","white","sedan","178089"
"103","103","volkswagen passat","black","sedan","69561"
"104","104","Hyundai i20","gray","hatchback","90474"
"105","105","Ford Mustang","blue","hatchback","447096"
"106","106","Kia Sonet","blue","cross-over","6528"
"107","107","Skoda Octavia","yellow","sedan","90936"
"108","108","Hyundai Kona EV","black","convertible","345264"
"109","109","Volvo S60","green","luxury","300233"
"110","110","Kia Carnival","yellow","luxury","365083"
"111","111","Mahindra Thar","blue","sedan","9393"
"112","112","Honda Civic","gray","luxury","194465"
"113","113","Tata Harrier","white","hatchback","275473"
"114","114","Toyota camry","gray","suv","299569"
"115","115","Tata Nexon EV","gray","convertible","432423"
"116","116","Toyota camry","yellow","hatchback","209348"
"117","117","Volvo S60","white","cross-over","140303"
"118","118","Jeep Wrangler","black","cross-over","336554"
"119","119","Hyundai Kona EV","white","hatchback","162645"
"120","120","volkswagen polo","blue","sports","202883"
"121","121","Audi S5","black","luxury","372671"
"122","122","Volvo XC 90","black","hatchback","305427"
"123","123","Mahindra Scorpio","gray","luxury","250132"
"124","124","Ford Mustang","gray","suv","175631"
"125","125","volkswagen polo","gray","sedan","432395"
"126","126","Volvo XC 90","yellow","hatchback","90863"
"127","127","Ford Ecosport","red","convertible","310513"
"128","128","Skoda Octavia","green","hatchback","389140"
"129","129","Toyota camry","black","sedan","87936"
"130","130","Skoda Octavia","white","cross-over","244376"
"131","131","MG ZS EV","red","sedan","338950"
"132","132","Audi S5","black","sports","405518"
"133","133","Ford Mustang","red","sedan","310873"
"134","134","MG ZS EV","yellow","sports","101273"
"135","135","BMW Z4","black","luxury","197699"
"136","136","Volvo S60","yellow","sedan","189719"
"137","137","Maruti Swift","white","luxury","178133"
